
Sync-Point 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0, Nsync-grv:      65536, Nsync-hyd:      32768
Sync-Point 58, Time: 0.269456, Redshift: 2.71118, Systemstep: 0.00500089, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 59, Time: 0.274552, Redshift: 2.6423, Systemstep: 0.00509545, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 60, Time: 0.279744, Redshift: 2.5747, Systemstep: 0.00519181, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 61, Time: 0.285034, Redshift: 2.50836, Systemstep: 0.00528999, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 62, Time: 0.290424, Redshift: 2.44325, Systemstep: 0.00539002, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 63, Time: 0.295916, Redshift: 2.37934, Systemstep: 0.00549195, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 64, Time: 0.301511, Redshift: 2.31662, Systemstep: 0.0055958, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 65, Time: 0.307213, Redshift: 2.25507, Systemstep: 0.00570162, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 66, Time: 0.313022, Redshift: 2.19466, Systemstep: 0.00580944, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 67, Time: 0.318942, Redshift: 2.13537, Systemstep: 0.00591929, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 68, Time: 0.321943, Redshift: 2.10614, Systemstep: 0.00300149, Dloga: 0.00936678, Nsync-grv:          0, Nsync-hyd:          1

Sync-Point 69, Time: 0.324973, Redshift: 2.07718, Systemstep: 0.00302974, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 70, Time: 0.328031, Redshift: 2.04849, Systemstep: 0.00305825, Dloga: 0.00936678, Nsync-grv:          0, Nsync-hyd:          1

Sync-Point 71, Time: 0.331118, Redshift: 2.02007, Systemstep: 0.00308703, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 72, Time: 0.334234, Redshift: 1.99191, Systemstep: 0.00311608, Dloga: 0.00936678, Nsync-grv:          0, Nsync-hyd:          3

Sync-Point 73, Time: 0.33738, Redshift: 1.96402, Systemstep: 0.00314541, Dloga: 0.00936678, Nsync-grv:      65536, Nsync-hyd:      32768

